term_index,term,TF,IDF,TF-IDF
0,a,0.014830508474576272,1.0,0.014830508474576272
1,ablaze,0.0,2.7047480922384253,0.0
2,able,0.0,2.7047480922384253,0.0
3,abound,0.0,2.7047480922384253,0.0
4,abrupt,0.0,2.7047480922384253,0.0
5,absorb,0.0,2.7047480922384253,0.0
6,accent,0.0,2.7047480922384253,0.0
7,accented,0.0,2.7047480922384253,0.0
8,accents,0.0,2.7047480922384253,0.0
9,access,0.00423728813559322,2.2992829841302607,0.009742724509026529
10,accessibility,0.00211864406779661,2.7047480922384253,0.0057303985005051385
11,accessible,0.00211864406779661,2.7047480922384253,0.0057303985005051385
12,accompany,0.0,2.7047480922384253,0.0
13,achievable,0.0,2.7047480922384253,0.0
14,achieve,0.0,2.2992829841302607,0.0
15,acidity,0.0,2.2992829841302607,0.0
16,acquire,0.0,2.7047480922384253,0.0
17,action,0.0,2.7047480922384253,0.0
18,active,0.00211864406779661,2.7047480922384253,0.0057303985005051385
19,activities,0.00211864406779661,2.7047480922384253,0.0057303985005051385
20,adapt,0.00211864406779661,2.2992829841302607,0.004871362254513264
21,add,0.0,2.01160091167848,0.0
22,address,0.0,2.7047480922384253,0.0
23,admire,0.0,2.7047480922384253,0.0
24,advance,0.00211864406779661,2.2992829841302607,0.004871362254513264
25,advancement,0.00211864406779661,2.7047480922384253,0.0057303985005051385
26,advancements,0.00423728813559322,2.01160091167848,0.008523732676603729
27,advent,0.00211864406779661,2.7047480922384253,0.0057303985005051385
28,adventure,0.0,2.2992829841302607,0.0
29,adventures,0.0,2.2992829841302607,0.0
30,adverse,0.0,2.7047480922384253,0.0
31,afternoon,0.0,2.7047480922384253,0.0
32,aftertaste,0.0,2.7047480922384253,0.0
33,age,0.0,2.7047480922384253,0.0
34,aged,0.0,2.2992829841302607,0.0
35,agricultural,0.00211864406779661,2.7047480922384253,0.0057303985005051385
36,agriculture,0.0,2.7047480922384253,0.0
37,ai,0.0,2.7047480922384253,0.0
38,aim,0.00423728813559322,2.2992829841302607,0.009742724509026529
39,air,0.0,1.6061358035703155,0.0
40,airport,0.0,2.7047480922384253,0.0
41,algorithms,0.0,2.7047480922384253,0.0
42,alive,0.0,1.7884573603642702,0.0
43,almond,0.0,2.7047480922384253,0.0
44,aloud,0.0,2.7047480922384253,0.0
45,alter,0.0,2.7047480922384253,0.0
46,ample,0.0,2.7047480922384253,0.0
47,analytics,0.0,2.7047480922384253,0.0
48,ancestors,0.0,2.7047480922384253,0.0
49,ancient,0.0,2.2992829841302607,0.0
50,animals,0.0,2.7047480922384253,0.0
51,announcements,0.0,2.7047480922384253,0.0
52,app,0.0,2.7047480922384253,0.0
53,apparent,0.0,2.7047480922384253,0.0
54,appeal,0.0,2.7047480922384253,0.0
55,applause,0.0,2.7047480922384253,0.0
56,apple,0.0,2.2992829841302607,0.0
57,apply,0.0,2.7047480922384253,0.0
58,approach,0.0,2.7047480922384253,0.0
59,approachable,0.0,2.7047480922384253,0.0
60,apricot,0.0,2.7047480922384253,0.0
61,architect,0.0,2.7047480922384253,0.0
62,architecture,0.0,2.7047480922384253,0.0
63,areas,0.006355932203389831,2.7047480922384253,0.017191195501515415
64,aroma,0.0,1.4519851237430572,0.0
65,aromas,0.0,2.2992829841302607,0.0
66,arrange,0.0,2.7047480922384253,0.0
67,arrive,0.0,2.7047480922384253,0.0
68,artifact,0.0,2.7047480922384253,0.0
69,artificial,0.00211864406779661,2.01160091167848,0.004261866338301864
